Model Type,Epoch,Model Size,Total Parameters,Accuracy,Loss
1 hidden,1,"(1, 3, 3, 1, 1, 1)",7720,82.70666666666666,0.62479650321355
1 hidden,2,"(1, 3, 3, 1, 1, 1)",7720,90.835,0.3120024607840505
1 hidden,3,"(1, 3, 3, 1, 1, 1)",7720,92.35833333333333,0.2626433561740717
1 hidden,4,"(1, 3, 3, 1, 1, 1)",7720,93.44333333333333,0.22736904036595243
1 hidden,5,"(1, 3, 3, 1, 1, 1)",7720,94.10833333333333,0.2017436876321144
1 hidden,1,"(1, 6, 3, 1, 1, 1)",15430,82.12,0.6358183039658105
1 hidden,2,"(1, 6, 3, 1, 1, 1)",15430,90.13666666666667,0.3359880250558924
1 hidden,3,"(1, 6, 3, 1, 1, 1)",15430,91.52166666666666,0.29370507712303195
1 hidden,4,"(1, 6, 3, 1, 1, 1)",15430,92.60166666666667,0.26143524887115716
1 hidden,5,"(1, 6, 3, 1, 1, 1)",15430,93.52666666666667,0.23014663325857
1 hidden,1,"(1, 12, 3, 1, 1, 1)",30850,84.27666666666667,0.5750271554694755
1 hidden,2,"(1, 12, 3, 1, 1, 1)",30850,91.18166666666667,0.3013706221890602
1 hidden,3,"(1, 12, 3, 1, 1, 1)",30850,92.92333333333333,0.24457933643717628
1 hidden,4,"(1, 12, 3, 1, 1, 1)",30850,94.25833333333334,0.2033424175290792
1 hidden,5,"(1, 12, 3, 1, 1, 1)",30850,95.11666666666666,0.1721707799279296
1 hidden,1,"(1, 18, 3, 1, 1, 1)",46270,86.43666666666667,0.5074552508241841
1 hidden,2,"(1, 18, 3, 1, 1, 1)",46270,92.86333333333333,0.25467212339724177
1 hidden,3,"(1, 18, 3, 1, 1, 1)",46270,94.37166666666667,0.20094228428262256
1 hidden,4,"(1, 18, 3, 1, 1, 1)",46270,95.39333333333333,0.1664948783028545
1 hidden,5,"(1, 18, 3, 1, 1, 1)",46270,95.98833333333333,0.14353758023817464
1 hidden,1,"(1, 24, 3, 1, 1, 1)",61690,85.50833333333334,0.5120350293465642
1 hidden,2,"(1, 24, 3, 1, 1, 1)",61690,91.83333333333333,0.28152579262947985
1 hidden,3,"(1, 24, 3, 1, 1, 1)",61690,93.46333333333334,0.22645450088737615
1 hidden,4,"(1, 24, 3, 1, 1, 1)",61690,94.76666666666667,0.18503983523934953
1 hidden,5,"(1, 24, 3, 1, 1, 1)",61690,95.61333333333333,0.15610904658018654
1 hidden,1,"(1, 24, 3, 1, 1, 1)",61690,85.68166666666667,0.5319812966625828
1 hidden,2,"(1, 24, 3, 1, 1, 1)",61690,92.67333333333333,0.2565704151225497
1 hidden,3,"(1, 24, 3, 1, 1, 1)",61690,94.315,0.20086380000958945
1 hidden,4,"(1, 24, 3, 1, 1, 1)",61690,95.34833333333333,0.1662431178189544
1 hidden,5,"(1, 24, 3, 1, 1, 1)",61690,95.97833333333334,0.14317719201479895
1 hidden,1,"(1, 30, 3, 1, 1, 1)",77110,86.66666666666667,0.4821454405006188
